movie_id,movie_name,year,tags,overview,rating,director,cast
tt33014583,Dhurandhar,2025,"Hindi, Action Epic, Gangster, Political Drama, Political Thriller, Spy, Action, Adventure, Crime, Drama","A mysterious traveler slips into the heart of Karachi's underbelly and rises through its ranks with lethal precision, only to tear the notorious ISI-Underworld nexus apart from within.",8.6,Aditya Dhar,"Ranveer Singh, Akshaye Khanna, Sanjay Dutt, Arjun Rampal, Madhavan"
tt37443891,Raat Akeli Hai: The Bansal Murders,2025,"Hindi, Drama","After the Bansal family is found murdered, Inspector Jatil Yadav discovers a web of greed, betrayal and secrets leading to a lethal conspiracy.",6.7,Honey Trehan,"Nawazuddin Siddiqui, Radhika Apte, Deepti Naval, Ila Arun, Revathi"
tt28037987,Saiyaara,2025,"Hindi, Pop Musical, Drama, Musical, Romance","Vaani and Krish will have to navigate life, their problems, their insecurities to hopefully realise that only love can be the answer to everything.",6.3,Mohit Suri,"Ahaan Panday, Aneet Padda, Rajesh Kumar, Geeta Agrawal Sharma, Anngad Raaj"
tt28142095,Tere Ishk Mein,2025,"Hindi, Action, Drama, Musical, Romance","Shankar and Mukti's intense love story unfolds against the backdrop of Benaras, exploring surrender and transformation through an all-consuming romance that heals, hurts, and changes them.",7.5,Aanand L. Rai,"Kriti Sanon, Dhanush, Mohd. Zeeshan Ayyub, Paramvir Cheema, Prakash Raj"
tt28508934,Kaantha,2025,"Tamil, Period Drama, Psychological Thriller, Showbiz Drama, Whodunnit, Biography, Drama, Horror, Mystery, Thriller","In 1950s Madras, lives intertwine against a backdrop of social transformation during India's post-independence era.",7.6,Selvamani Selvaraj,"Bhagyashri Borse, Dulquer Salmaan, Rana Daggubati, Samuthirakani, Bijesh Nagesh"
tt31036941,Jurassic World: Rebirth,2025,"Dinosaur Adventure, Jungle Adventure, Action, Adventure, Sci-Fi, Thriller","Five years post-Jurassic World: Dominion (2022), an expedition braves isolated equatorial regions to extract DNA from three massive prehistoric creatures for a groundbreaking medical breakthrough.",5.9,Gareth Edwards,"Scarlett Johansson, Mahershala Ali, Jonathan Bailey, Rupert Friend, Manuel Garcia-Rulfo"
tt28102562,Thamma,2025,"Hindi, Supernatural Horror, Comedy, Horror, Thriller","Two destined lovers battle supernatural forces, family ties, and nature itself to defend their forbidden romance in a mystical world where ancient powers and prophecies threaten to keep them apart.",6.0,Aditya Sarpotdar,"Ayushmann Khurrana, Rashmika Mandanna, Nawazuddin Siddiqui, Paresh Rawal, Geeta Agrawal Sharma"
tt29606526,The Girlfriend,2025,"Telugu, Drama, Romance","A young woman explores love, compatibility and self-discovery during college, experiencing relationship complexities and personal growth.",6.7,Rahul Ravindran,"Rashmika Mandanna, Anu Emmanuel, Dheekshith Shetty, Rohini, Koushik Mahata"
tt26733325,Homebound,2025,"Hindi, Drama","Two friends from a North Indian village pursue police jobs seeking dignity, but their friendship strains as desperation grows in their quest.",8.0,Neeraj Ghaywan,"Ishaan Khatter, Vishal Jethwa, Janhvi Kapoor, Harshika Parmar, Dadhi R Paandey"
tt26439764,Kantara: A Legend - Chapter 1,2025,"Kannada, Action Epic, Epic, Fantasy Epic, Period Drama, Supernatural Fantasy, Action, Fantasy, Thriller","Exploring the origins of Kaadubettu Shiva during the Kadamba dynasty era, it delves into the untamed wilderness and forgotten lore surrounding his past.",8.2,Rishab Shetty,"Rishab Shetty, Rukmini Vasanth, Jayaram, Gulshan Devaiah, Pramod Shetty"
tt15387182,Akhanda 2 - Thaandavam,2025,"Telugu, Action","A heartwarming journey explores the connection between children's innocence, the natural world, and spiritual faith as communities strive for progress.",7.0,Boyapati Srinu,"Nandamuri Balakrishna, Harshaali Malhotra, Samyuktha Menon, Shamna Kasim, Tarun Khanna"
tt36302733,Dies Irae,2025,"Malayalam, Horror, Thriller","Rohan's affluent lifestyle spirals out of control as he becomes convinced there is a supernatural entity in his home. As he uncovers the mystery, he is drawn into unexpected realms and alliances, along with the horrors that lie ahead.",7.0,Rahul Sadasivan,"Pranav Mohanlal, Sushmitha Bhat, Shine Tom Chacko, Gibin Gopinath, Jaya Kurup"
tt29247040,Baramulla,2025,"Hindi, Horror, Mystery, Thriller",A police officer investigating missing children cases discovers disturbing truths while supernatural occurrences threaten his family and Baramulla's tranquility.,7.0,Aditya Suhas Jambhale,"Manav Kaul, Bhasha Sumbli, Arista Mehta, Ashwini Koul, Mir Sarwar"
tt33372494,Lokah Chapter One: Chandra,2025,"Malayalam, Superhero, Action, Fantasy","Chandra, a young woman, arrives in Bengaluru with a mission. Her neighbor, Sunny, sets out to unravel the mystery about her and they are on an unexpected adventure ride together.",7.7,Dominic Arun,"Kalyani Priyadarshan, Naslen, Sandy Master, Tovino Thomas, Arun Kurian"
tt15097358,Bison: Kaalamaadan,2025,"Tamil, Coming-of-Age, Biography, Drama, Sport",A young man fights to overcome violence plaguing his village and succeed as a professional kabaddi player.,7.8,Mari Selvaraj,"Dhruv Vikram, Anupama Parameswaran, Pasupathy, Rajisha Vijayan, Anurag Arora"
tt27922706,Chhaava,2025,"Hindi, Action Epic, Costume Drama, Epic, Historical Epic, One-Person Army Action, Period Drama, Tragedy, Action, Drama","After the death of his father, warrior-king Sambhaji Maharaj battles Mughal forces led by Aurangzeb to keep the Maratha Empire alive.",7.3,Laxman Utekar,"Vicky Kaushal, Akshaye Khanna, Rashmika Mandanna, Ashutosh Rana, Divya Dutta"
tt33500164,KalamKaval,2025,"Malayalam, Crime, Drama","A Kerala Police investigation in Kottayikonam escalates when small clues expose multiple disturbing cases and mysteries, while facing strategic obstacles throughout the probe.",7.6,Jithin K. Jose,"Mammootty, Vinayakan, Rajisha Vijayan, Azees Nedumangad, Gibin Gopinath"
tt27996020,Jolly LLB 3,2025,"Hindi, Legal Drama, Comedy, Drama","Smart-alec Jolly Mishra and jugadu Jolly Tyagi clash in Judge Tripathi's court with witty banter, wild twists, and heartfelt chaos in this ultimate courtroom comedy.",6.5,Subhash Kapoor,"Akshay Kumar, Arshad Warsi, Saurabh Shukla, Gajraj Rao, Huma Qureshi"
